,name,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,tempo,valence
69,2002,186986,78,0.0372,0.697,0.683,0.0,0.137,-2.881,96.133,0.603
70,The Middle,184732,77,0.171,0.753,0.657,0.0,0.112,-3.061,107.01,0.437
71,X,172854,77,0.0338,0.594,0.749,0.00106,0.3,-5.298,179.968,0.694
72,I Like It,253390,77,0.099,0.816,0.726,0.0,0.372,-3.998,136.048,0.65
73,Nevermind,156600,77,0.159,0.6,0.688,1.29e-05,0.409,-8.339,99.977,0.0793
74,Nice For What,210746,77,0.0891,0.585,0.909,9.7e-05,0.119,-6.474,93.372,0.758
75,Him & I (with Halsey),268866,76,0.0534,0.589,0.731,0.0,0.308,-6.343,87.908,0.191
76,Shotgun,201287,76,0.286,0.673,0.735,0.0,0.242,-4.733,115.744,0.754
77,IDGAF,217946,76,0.0403,0.836,0.544,0.0,0.0824,-5.975,97.028,0.51
78,Never Be the Same,226973,76,0.181,0.637,0.713,0.000637,0.137,-4.333,129.923,0.243
79,Mo Bamba,183906,76,0.194,0.729,0.625,0.00986,0.248,-5.266,146.034,0.261
80,Wolves,197993,76,0.124,0.725,0.804,0.0,0.204,-4.614,124.996,0.31
81,Nonstop,238614,76,0.0165,0.912,0.412,0.0126,0.104,-8.074,154.983,0.423
82,changes,121886,75,0.883,0.669,0.308,0.0,0.0984,-10.068,64.934,0.52
83,Be Alright,196373,75,0.697,0.553,0.586,0.0,0.0813,-6.319,126.684,0.443
84,no tears left to cry,205920,75,0.04,0.699,0.713,3.11e-06,0.294,-5.507,121.993,0.354
85,FRIENDS,202620,75,0.205,0.626,0.88,0.0,0.128,-2.384,95.079,0.534
86,Self Care,345133,75,0.367,0.52,0.538,0.00187,0.119,-8.109,141.894,0.177
87,Psycho (feat. Ty Dolla $ign),221440,75,0.546,0.75,0.56,0.0,0.111,-8.094,140.06,0.459
88,Mine,131064,74,0.0161,0.71,0.789,2.77e-06,0.451,-3.874,142.929,0.717
89,Te Boté - Remix,417920,73,0.542,0.903,0.675,1.28e-05,0.0595,-3.445,96.507,0.442
90,God is a woman,197546,74,0.0233,0.602,0.658,6e-05,0.237,-5.934,145.031,0.268
91,In My Feelings,217925,73,0.0589,0.835,0.626,6e-05,0.396,-5.833,91.03,0.35
